production_date_yymmdd,check_no,qr_read_ts,all_clear_ts,production_date,packing_date,tehai_no,order_no,product_name,width_mm,height_mm,material_code1,material_name1,material_qty1,material_code2,material_name2,material_qty2,qr_clear_count,initial_clear_count,forced_clear_count,material_pick_count,error_code
260105,CHK-260105008,2026-01-05 08:22:23,2026-01-05 08:29:29,2026-01-05,2026-01-05,TEH-260105008,ORD-260105-008,RS-120X200-GY,1200,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105009,2026-01-05 08:29:47,2026-01-05 08:36:42,2026-01-05,2026-01-05,TEH-260105009,ORD-260105-009,VB-50-80X150-IV,800,1500,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105010,2026-01-05 08:36:59,2026-01-05 08:43:56,2026-01-05,2026-01-05,TEH-260105010,ORD-260105-010,VT-80X200-LG,800,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105013,2026-01-05 08:44:10,2026-01-05 08:50:36,2026-01-05,2026-01-05,TEH-260105013,ORD-260105-013,RS-90X180-WH,900,1800,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105014,2026-01-05 08:50:42,2026-01-05 08:57:41,2026-01-05,2026-01-05,TEH-260105014,ORD-260105-014,RS-120X200-GY,1200,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105020,2026-01-05 08:57:52,2026-01-05 09:05:15,2026-01-05,2026-01-05,TEH-260105020,ORD-260105-020,RS-120X200-GY,1200,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105024,2026-01-05 09:05:22,2026-01-05 09:12:02,2026-01-05,2026-01-05,TEH-260105024,ORD-260105-024,VB-60-90X160-BR,900,1600,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105025,2026-01-05 09:12:19,2026-01-05 09:19:32,2026-01-05,2026-01-05,TEH-260105025,ORD-260105-025,RS-90X180-WH,900,1800,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105026,2026-01-05 09:19:51,2026-01-05 09:27:16,2026-01-05,2026-01-05,TEH-260105026,ORD-260105-026,RS-120X200-GY,1200,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105031,2026-01-05 09:27:22,2026-01-05 09:34:15,2026-01-05,2026-01-05,TEH-260105031,ORD-260105-031,RS-90X180-WH,900,1800,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105032,2026-01-05 09:34:24,2026-01-05 09:41:58,2026-01-05,2026-01-05,TEH-260105032,ORD-260105-032,RS-120X200-GY,1200,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105040,2026-01-05 09:42:08,2026-01-05 09:49:22,2026-01-05,2026-01-05,TEH-260105040,ORD-260105-040,VT-80X200-LG,800,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105041,2026-01-05 09:49:37,2026-01-05 09:56:07,2026-01-05,2026-01-05,TEH-260105041,ORD-260105-041,RS-180X220-BK,1800,2200,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105044,2026-01-05 09:56:25,2026-01-05 10:02:59,2026-01-05,2026-01-05,TEH-260105044,ORD-260105-044,RS-120X200-GY,1200,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105047,2026-01-05 10:03:18,2026-01-05 10:10:36,2026-01-05,2026-01-05,TEH-260105047,ORD-260105-047,RS-180X220-BK,1800,2200,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105049,2026-01-05 10:10:55,2026-01-05 10:18:19,2026-01-05,2026-01-05,TEH-260105049,ORD-260105-049,RS-90X180-WH,900,1800,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105055,2026-01-05 10:18:37,2026-01-05 10:25:28,2026-01-05,2026-01-05,TEH-260105055,ORD-260105-055,RS-90X180-WH,900,1800,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105064,2026-01-05 10:25:36,2026-01-05 10:32:26,2026-01-05,2026-01-05,TEH-260105064,ORD-260105-064,VT-80X200-LG,800,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105068,2026-01-05 10:32:32,2026-01-05 10:38:59,2026-01-05,2026-01-05,TEH-260105068,ORD-260105-068,RS-120X200-GY,1200,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105070,2026-01-05 10:39:08,2026-01-05 10:45:50,2026-01-05,2026-01-05,TEH-260105070,ORD-260105-070,VT-80X200-LG,800,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105081,2026-01-05 10:45:57,2026-01-05 10:52:22,2026-01-05,2026-01-05,TEH-260105081,ORD-260105-081,VB-50-80X150-IV,800,1500,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
