production_date_yymmdd,check_no,qr_read_ts,all_clear_ts,production_date,packing_date,tehai_no,order_no,product_name,width_mm,height_mm,material_code1,material_name1,material_qty1,material_code2,material_name2,material_qty2,qr_clear_count,initial_clear_count,forced_clear_count,material_pick_count,error_code
260105,CHK-260105001,2026-01-05 08:17:35,2026-01-05 08:20:40,2026-01-05,2026-01-05,TEH-260105001,ORD-260105-001,RS-90X180-WH,900,1800,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105005,2026-01-05 08:21:00,2026-01-05 08:24:16,2026-01-05,2026-01-05,TEH-260105005,ORD-260105-005,RS-180X220-BK,1800,2200,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105006,2026-01-05 08:24:21,2026-01-05 08:27:45,2026-01-05,2026-01-05,TEH-260105006,ORD-260105-006,VB-60-90X160-BR,900,1600,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105007,2026-01-05 08:27:53,2026-01-05 08:30:55,2026-01-05,2026-01-05,TEH-260105007,ORD-260105-007,RS-90X180-WH,900,1800,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105011,2026-01-05 08:31:00,2026-01-05 08:34:10,2026-01-05,2026-01-05,TEH-260105011,ORD-260105-011,RS-180X220-BK,1800,2200,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105012,2026-01-05 08:34:15,2026-01-05 08:37:23,2026-01-05,2026-01-05,TEH-260105012,ORD-260105-012,VB-60-90X160-BR,900,1600,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105015,2026-01-05 08:37:42,2026-01-05 08:41:00,2026-01-05,2026-01-05,TEH-260105015,ORD-260105-015,VB-50-80X150-IV,800,1500,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105016,2026-01-05 08:41:16,2026-01-05 08:44:50,2026-01-05,2026-01-05,TEH-260105016,ORD-260105-016,VT-80X200-LG,800,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105017,2026-01-05 08:44:55,2026-01-05 08:48:08,2026-01-05,2026-01-05,TEH-260105017,ORD-260105-017,RS-180X220-BK,1800,2200,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105018,2026-01-05 08:48:28,2026-01-05 08:51:34,2026-01-05,2026-01-05,TEH-260105018,ORD-260105-018,VB-60-90X160-BR,900,1600,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105019,2026-01-05 08:51:40,2026-01-05 08:55:14,2026-01-05,2026-01-05,TEH-260105019,ORD-260105-019,RS-90X180-WH,900,1800,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105021,2026-01-05 08:55:26,2026-01-05 08:58:55,2026-01-05,2026-01-05,TEH-260105021,ORD-260105-021,VB-50-80X150-IV,800,1500,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105029,2026-01-05 08:59:07,2026-01-05 09:02:40,2026-01-05,2026-01-05,TEH-260105029,ORD-260105-029,RS-180X220-BK,1800,2200,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105034,2026-01-05 09:02:53,2026-01-05 09:06:02,2026-01-05,2026-01-05,TEH-260105034,ORD-260105-034,VT-80X200-LG,800,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105036,2026-01-05 09:06:08,2026-01-05 09:09:29,2026-01-05,2026-01-05,TEH-260105036,ORD-260105-036,VB-60-90X160-BR,900,1600,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105038,2026-01-05 09:09:37,2026-01-05 09:13:03,2026-01-05,2026-01-05,TEH-260105038,ORD-260105-038,RS-120X200-GY,1200,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105045,2026-01-05 09:16:11,2026-01-05 09:19:21,2026-01-05,2026-01-05,TEH-260105045,ORD-260105-045,VB-50-80X150-IV,800,1500,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105048,2026-01-05 09:19:37,2026-01-05 09:22:40,2026-01-05,2026-01-05,TEH-260105048,ORD-260105-048,VB-60-90X160-BR,900,1600,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105051,2026-01-05 09:22:56,2026-01-05 09:26:07,2026-01-05,2026-01-05,TEH-260105051,ORD-260105-051,VB-50-80X150-IV,800,1500,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105052,2026-01-05 09:26:22,2026-01-05 09:29:19,2026-01-05,2026-01-05,TEH-260105052,ORD-260105-052,VT-80X200-LG,800,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105053,2026-01-05 09:29:39,2026-01-05 09:33:02,2026-01-05,2026-01-05,TEH-260105053,ORD-260105-053,RS-180X220-BK,1800,2200,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105056,2026-01-05 09:33:19,2026-01-05 09:36:40,2026-01-05,2026-01-05,TEH-260105056,ORD-260105-056,RS-120X200-GY,1200,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105058,2026-01-05 09:36:53,2026-01-05 09:39:55,2026-01-05,2026-01-05,TEH-260105058,ORD-260105-058,VT-80X200-LG,800,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105061,2026-01-05 09:40:06,2026-01-05 09:43:34,2026-01-05,2026-01-05,TEH-260105061,ORD-260105-061,RS-90X180-WH,900,1800,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105062,2026-01-05 09:43:39,2026-01-05 09:46:40,2026-01-05,2026-01-05,TEH-260105062,ORD-260105-062,RS-120X200-GY,1200,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105065,2026-01-05 09:46:55,2026-01-05 09:50:04,2026-01-05,2026-01-05,TEH-260105065,ORD-260105-065,RS-180X220-BK,1800,2200,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105071,2026-01-05 09:50:24,2026-01-05 09:53:49,2026-01-05,2026-01-05,TEH-260105071,ORD-260105-071,RS-180X220-BK,1800,2200,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105073,2026-01-05 09:54:06,2026-01-05 09:57:15,2026-01-05,2026-01-05,TEH-260105073,ORD-260105-073,RS-90X180-WH,900,1800,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105079,2026-01-05 09:59:03,2026-01-05 10:02:05,2026-01-05,2026-01-05,TEH-260105079,ORD-260105-079,RS-90X180-WH,900,1800,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105083,2026-01-05 10:03:07,2026-01-05 10:06:24,2026-01-05,2026-01-05,TEH-260105083,ORD-260105-083,RS-180X220-BK,1800,2200,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105088,2026-01-05 10:06:40,2026-01-05 10:09:57,2026-01-05,2026-01-05,TEH-260105088,ORD-260105-088,VT-80X200-LG,800,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105090,2026-01-05 10:10:16,2026-01-05 10:13:44,2026-01-05,2026-01-05,TEH-260105090,ORD-260105-090,VB-60-90X160-BR,900,1600,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105091,2026-01-05 10:13:54,2026-01-05 10:16:48,2026-01-05,2026-01-05,TEH-260105091,ORD-260105-091,RS-90X180-WH,900,1800,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105092,2026-01-05 10:16:59,2026-01-05 10:20:02,2026-01-05,2026-01-05,TEH-260105092,ORD-260105-092,RS-120X200-GY,1200,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105095,2026-01-05 10:20:12,2026-01-05 10:23:19,2026-01-05,2026-01-05,TEH-260105095,ORD-260105-095,RS-180X220-BK,1800,2200,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105096,2026-01-05 10:23:29,2026-01-05 10:26:30,2026-01-05,2026-01-05,TEH-260105096,ORD-260105-096,VB-60-90X160-BR,900,1600,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105098,2026-01-05 10:26:42,2026-01-05 10:29:58,2026-01-05,2026-01-05,TEH-260105098,ORD-260105-098,RS-120X200-GY,1200,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105099,2026-01-05 10:30:03,2026-01-05 10:33:03,2026-01-05,2026-01-05,TEH-260105099,ORD-260105-099,VB-50-80X150-IV,800,1500,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105100,2026-01-05 10:33:10,2026-01-05 10:36:20,2026-01-05,2026-01-05,TEH-260105100,ORD-260105-100,VT-80X200-LG,800,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105104,2026-01-05 10:36:35,2026-01-05 10:39:42,2026-01-05,2026-01-05,TEH-260105104,ORD-260105-104,RS-120X200-GY,1200,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105105,2026-01-05 10:39:58,2026-01-05 10:43:33,2026-01-05,2026-01-05,TEH-260105105,ORD-260105-105,VB-50-80X150-IV,800,1500,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
