production_date_yymmdd,check_no,qr_read_ts,all_clear_ts,production_date,packing_date,tehai_no,order_no,product_name,width_mm,height_mm,material_code1,material_name1,material_qty1,material_code2,material_name2,material_qty2,qr_clear_count,initial_clear_count,forced_clear_count,material_pick_count,error_code
260105,CHK-260105002,2026-01-05 08:12:22,2026-01-05 08:16:06,2026-01-05,2026-01-05,TEH-260105002,ORD-260105-002,RS-120X200-GY,1200,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105003,2026-01-05 08:16:20,2026-01-05 08:19:58,2026-01-05,2026-01-05,TEH-260105003,ORD-260105-003,VB-50-80X150-IV,800,1500,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105004,2026-01-05 08:20:07,2026-01-05 08:23:54,2026-01-05,2026-01-05,TEH-260105004,ORD-260105-004,VT-80X200-LG,800,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105022,2026-01-05 08:42:33,2026-01-05 08:46:49,2026-01-05,2026-01-05,TEH-260105022,ORD-260105-022,VT-80X200-LG,800,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105023,2026-01-05 08:47:04,2026-01-05 08:50:49,2026-01-05,2026-01-05,TEH-260105023,ORD-260105-023,RS-180X220-BK,1800,2200,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105027,2026-01-05 08:50:59,2026-01-05 08:54:37,2026-01-05,2026-01-05,TEH-260105027,ORD-260105-027,VB-50-80X150-IV,800,1500,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105028,2026-01-05 08:54:50,2026-01-05 08:58:36,2026-01-05,2026-01-05,TEH-260105028,ORD-260105-028,VT-80X200-LG,800,2000,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105030,2026-01-05 08:58:52,2026-01-05 09:02:39,2026-01-05,2026-01-05,TEH-260105030,ORD-260105-030,VB-60-90X160-BR,900,1600,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105033,2026-01-05 09:02:57,2026-01-05 09:06:25,2026-01-05,2026-01-05,TEH-260105033,ORD-260105-033,VB-50-80X150-IV,800,1500,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
260105,CHK-260105035,2026-01-05 09:06:39,2026-01-05 09:10:47,2026-01-05,2026-01-05,TEH-260105035,ORD-260105-035,RS-180X220-BK,1800,2200,MAT-001,Frame,1,MAT-002,Panel,1,1,1,0,2,
